phone_no_m,opposite_count,opposite_unique,voccalltype1,imeis,voc_calltype1,city_name_call,county_name_call,phone2opposite_mean,phone2opposite_median,phone2opposite_max,phone2oppo_sum_mean,phone2oppo_sum_median,phone2oppo_sum_max,call_dur_mean,call_dur_median,call_dur_max,call_dur_min,city_name_nunique,county_name_nunique,calltype_id_unique,voc_hour_mode,voc_hour_mode_count,voc_hour_nunique,voc_day_mode,voc_day_mode_count,voc_day_nunique,sms_count,sms_nunique,sms_rate,calltype_2,calltype_rate,hour_mode,hour_mode_count,hour_nunique,day_mode,day_mode_count,day_nunique,busi_count,flow_mean,flow_median,flow_min,flow_max,flow_var,flow_sum,month_ids,flow_month,arpu_mean,arpu_var,arpu_max,arpu_min,arpu_median,arpu_sum,arpu_skew,arpu_sem,arpu_quantile,label
672ddbf02a5544d32e4ecc9433b1981bffe23bf912273a3a835f6cccb78b8ed7554e9ab0fbcd33d19eb6063ce00542dd223cc5cc83c68f07bcf933547b6776b1,1258,95,649,2,0.515898251,2,7,13.24210526,3,226,982.3157895,122,15395,74.18124006,30,1989,1,4,16,2,16,149,23,4,73,31,1416,211,6.710900474,1410,0.995762712,17,143,24,16,93,31,257,13.75810701,0.180787086,0.000105858,1544.715554,5317.9989,13964.47861,8,1745.559827,45.1325,0.14045,46.06,45,45,361.06,2.828427125,0.1325,45,0
5e1272273e041e82cb275ae877710be98cdaf5b0a8f34de8d361f71d5268fa0851edffd3950e170df1e3846fcf90cc7cc8299be9139a2ac4b5c5e5121d832674,156,63,43,1,0.275641026,1,2,2.476190476,1,31,191.2857143,22,4441,77.25,38,615,1,1,2,2,10,20,16,4,20,31,4242,364,11.65384615,4217,0.994106554,10,624,24,1,356,31,326,30.45572855,0.365559101,7.44E-05,3611.522758,26689.3759,51896.56145,8,6487.070181,63.9375,337.1483929,79.3,34.1,69.5,511.5,-0.740958317,6.491806305,69.5,0
eaab3472ec87b076e69e6e8bb62b14341638fc63661a6c682d6add360a4332a8ad294d8470d64a73c6e53e8413f0ad93b9ea65afab717e58d312554f33553ee7,1152,124,779,4,0.676215278,3,8,9.290322581,2,388,413.8467742,109.5,11990,44.54600694,31,601,1,3,8,2,10,149,20,19,69,31,1375,364,3.777472527,1278,0.929454545,10,160,20,19,67,31,232,14.85383836,0.14201355,7.63E-05,1371.871877,5285.788519,14690.44613,8,1836.305767,31.78125,353.8892411,63,18.85,22.075,254.25,1.414106013,6.651026623,22.075,0
0ce1bb415704178bf44e9c9b431a39b083a132c8e6d99f3627cd4520064b93ec66a72d085a67f0f40eebb9f901072965073e398f04c4ae500a1db4dfb13a972c,5083,1229,1457,2,0.286641747,3,15,4.135882832,1,494,311.3295362,19,25981,75.27523116,37,2269,1,5,22,3,15,650,22,14,218,31,4370,1176,3.715986395,4322,0.989016018,10,527,24,16,178,31,85,1.736553237,0.071946144,9.16E-05,62.42862701,62.37583658,258.7464323,8,32.34330404,54.07125,3779.156613,173.12,19,21.2,432.57,1.570986658,21.73464001,21.2,0
28b87f35f63f65096a53e3a4c97eaffd4a6c43ffa7e92d7706b20520aa11fff0f4ce06203f66758ec0f0e70780e4e258aae6aa1f23439e115528e08eda71ed20,61,47,19,1,0.31147541,2,2,1.29787234,1,5,61.31914894,32,243,47.24590164,24,199,6,6,7,2,10,7,21,3,7,27,723,69,10.47826087,722,0.998616874,14,106,20,15,65,31,270,43.78589437,0.145008087,5.34E-05,13704.44623,286363.1108,63971.19168,8,7996.39896,50,0,50,50,50,400,0,0,50,0
16de3bcbd05ae39e8a553a8959d2ef6e31d9eaf34c5643ae336369ea6e3afb5dc898aa7b4ae4bd18cd013e25540f491b59befeabccd2b1ba9167836e241a10d7,771,189,598,3,0.775616083,2,3,4.079365079,2,70,518.8465608,82,52150,127.1880674,37,3256,1,2,3,2,17,112,19,10,52,31,1066,168,6.345238095,1033,0.969043152,10,123,21,28,69,31,295,9.46910401,0.132599354,7.44E-05,889.6195192,3000.946493,14563.48197,8,1820.435246,65.19,148.6708,94.45,59,59.325,521.52,2.514723722,4.310898978,59.325,0
a19e29d2dfcf631a412c9dfd0a14f0d79ec6d784168a84e5527d7de26e37505d4fd363f6db9a5760ec88b63bb01799954fd1a24c3cd2ca3006d8977805bfb67e,1268,1153,1253,4,0.988170347,2,3,1.099739809,1,9,62.73980919,24,1616,57.04968454,25,1137,1,2,3,2,15,222,15,31,145,27,95,11,8.636363636,94,0.989473684,16,34,10,27,38,17,99,6.015715691,0.056245804,0.000182152,453.0667944,1246.710193,1118.923119,3,372.9743729,34.19666667,421.8070333,46.6,10.49,45.5,102.59,-1.726462827,11.85758595,45.5,1
7b6b79beebb15203f984eb1b4232581151cfe633037c6467155f925b0aee6413d1af1a610bc8b3dcd90716fdd251c6053285588d89cafb87186d40a404f980e9,126,97,123,2,0.976190476,2,4,1.298969072,1,11,173.185567,59,2380,133.3253968,55.5,1800,6,2,4,2,17,26,16,11,80,10,136,18,7.555555556,130,0.955882353,18,32,15,6,50,19,4,12.59467831,0.01050663,0.001840591,62.93723011,791.9914496,62.97339153,1,62.97339153,40.34,,40.34,40.34,40.34,40.34,,,40.34,1
371bb6ef7f0973e9aa4a2a324d98d326efdc903730bea9725c480391acd6cac0894d08f6b628928b5950e6683110bb12d4d99e5df51f06791c5fe0a524232228,370,308,369,5,0.997297297,4,6,1.201298701,1,4,56.97727273,46,301,47.42972973,39,238,1,4,6,2,0,69,21,12,23,31,4025,725,5.551724138,3702,0.919751553,23,660,24,18,1191,31,140,7.112580655,0.078979492,7.44E-05,771.1833782,1682.850163,4488.038393,8,561.0047991,17.22875,52.06726964,29.89,9,15.995,137.83,0.770329308,2.551158307,15.995,1
c7c8f04a35e800c615301288bdbe6500993f87dc282025f9f358d94c0863e6c0041deab78d8e1870c312f04fd0897df52d61af0f23a495a81f831f7e8662ae50,2578,656,1000,1,0.387897595,4,14,3.929878049,1,302,193.4070122,26,8186,49.21450737,27,2033,1,5,20,2,14,251,23,3,128,31,3921,1117,3.510295434,3809,0.971435858,11,426,24,11,197,31,447,45.8509363,0.254397392,7.63E-05,5690.515797,84778.54876,104861.0913,8,13107.63642,22.26625,58.42002679,36.37,14.63,21.13,178.13,0.935776096,2.702314443,21.13,0
